epoch,DataReconstruction,DataStripping,MCMerge,MCReconstruction,MCSimulation,MCStripping,Merge,Turbo,WGProduction,test,unknown,user
1451520000,0.0,0.0,9.375,157.728497622,0.0,534.338459164,7.1658706467,0.0,4.3125,0.0,0.0,1456.10160701
1451692800,0.0,0.0,15.625,342.814105526,0.0,554.946177103,5.05514064673,0.0,0.0,0.0,0.0,268.136218183
1451865600,0.0,0.0,21.8035743232,196.441723369,0.0,845.117321071,2.08861696369,0.0,0.0416666666667,0.0,0.0,3496.0692066
1452038400,0.0,0.0,18.8214256768,54.8540176922,0.0,800.53709252,1.50433749933,0.0,0.0,0.0,0.0,3812.88203481
1452211200,0.166666666623,0.0,25.4791666667,109.836660636,0.0,22.9016649464,2.40470072547,0.0,0.0,0.0,0.0,2071.25419231
1452384000,0.0,0.0,0.0,12.5195325663,0.0,0.0665945837438,0.59588986575,0.0,0.0,0.0,0.0,5293.04486183
1452556800,0.0,0.0,0.625,54.1092068389,0.0,22.3693656445,0.804843666942,0.0,0.0,0.0,0.0,3645.43699863
1452729600,0.0,0.0,22.625,105.02779001,0.0,142.109801022,0.283741107654,0.0,1.10416666667,0.0,0.0,4154.63805985
1452902400,0.0,0.0,0.0,262.129696195,0.0,0.0,0.206641532056,0.0,0.0,0.0,0.0,2523.24528276
1453075200,0.0,0.0,4.68749999999,622.200080333,0.0,109.614771888,0.3070335602,0.0,0.0,0.0,0.0,4698.40122757
1453248000,0.0,4.0,2.83862222763,427.596137116,0.0,47.8463022549,7.58943343328,0.0,0.0,0.0,0.0,7746.58986898
1453420800,0.0,0.0833333333333,41.6151007165,321.796599654,0.0,489.753992304,19.1782406799,0.0,0.0,0.0,0.0,7862.9351543
1453593600,0.0,0.0,6.46294372254,164.581453287,0.0,72.2016002205,0.0222285509813,0.0,0.0,0.0,0.0,1806.06384757
1453766400,0.0,0.0,0.0,221.588222206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8932.55465633
1453939200,0.0,1318.3545575,1.29166666667,610.164472657,0.0,0.0,3060.06151612,0.0,0.0,0.0,0.0,7718.37126562
1454112000,0.0,2570.25924544,3.67473743827,419.085247418,0.0,146.707585861,8335.62581885,0.0,0.0,0.0,0.0,3730.90722077
1454284800,0.0,4016.79169436,3.61692922841,262.586466011,0.0,28.6049141391,10071.7439791,0.0,0.0,0.0,0.0,5409.8962944
1454457600,0.0,3334.65989697,50.0498143818,176.236441019,0.0,220.301080186,9538.17705535,0.0,0.0,0.0,0.0,5031.40858893
1454630400,0.0,3333.9029903,7.261090988,101.925662997,0.0,60.7375898463,17049.3704728,0.0,0.0,0.0,0.0,3679.94274178
1454803200,0.0,2437.63886827,34.9934451145,161.669054721,0.0,273.03225837,12238.5158118,0.0,0.0,0.0,0.0,3355.80528434
1454976000,0.0,2052.61371389,47.5612778718,173.45963645,0.0,207.73390547,18895.7372764,0.0,0.0,0.0,0.0,4949.84156428
1455148800,0.0,226.398168519,9.48853831051,91.2380492233,0.0,48.4868327957,4638.43962817,23.8125,0.0,0.0,0.0,7025.85013062
1455321600,1.01120758343,0.451634882212,5.72577742034,127.705727109,0.0,37.1666666667,2598.05352341,3.14583333332,0.0,0.0,0.0,4827.51607525
1455494400,39.1034321153,0.0,10.7083333333,85.2675265353,0.0,0.0,14339.8188065,23.957160113,0.0,0.0,0.0,6570.16617213
1455667200,4.00073455138,1.72916666666,0.74932428174,48.3127319868,0.0,174.78930184,704.255371442,2.60533988707,0.0,0.0,0.0,9530.12721376
1455840000,0.0,0.0,325.188175718,188.060039343,0.0,1164.51127801,30.712037349,0.0,0.0,0.0,0.0,5377.16559382
1456012800,0.0,0.334891527796,0.0863493015167,379.404359212,0.0,644.917051258,4.93968369924,0.0,0.0,0.0,0.0,3769.83495552
1456185600,35.5828350977,0.0,146.962080635,868.461318706,0.0,394.296132759,0.804251670033,0.0,0.0,0.0,0.0,9113.46912953
1456358400,4.2690737731,0.0,93.8087526983,358.940515738,0.0,913.899324116,0.0,0.0,0.0,0.0,0.0,11316.9953017
1456531200,0.00225779606458,0.0,76.483270202,642.075976041,0.0,641.874288451,0.0,0.0,0.0,0.0,0.0,7302.81269911
1456704000,0.0,0.0,95.7411246388,402.237323162,0.0,661.745790729,0.0,0.0,0.0,0.0,0.0,9219.06940404
1456876800,17.7291666666,0.0,114.99577629,311.745543947,0.0,1296.88543986,0.0,0.0,0.0,0.0,0.0,6838.26452405
1457049600,31.125,0.0,92.6898412506,72.9606367276,0.0,855.985773316,0.0,12.875,0.0,0.0,0.0,2865.30423241
1457222400,0.0,0.0,129.475236362,92.9629745785,0.0,2286.50651651,0.0,0.0,0.0,0.0,0.0,4730.16387778
1457395200,31.7272219783,0.0,133.341589498,19.4623363211,0.0,1316.69856681,0.0,59.1330903835,0.0,0.0,0.0,5605.35227998
1457568000,0.0644446883729,0.0,88.2967270321,87.0256976885,0.0,1240.34882614,2.66980153718,11.6288337895,0.0,0.0,0.0,7945.73893059
1457740800,0.0,0.0,98.3026973488,72.2318646092,0.0,1187.23705785,0.601031796163,7.32244902783,0.0,0.0,0.0,2769.77489328
1457913600,0.0,0.0,63.570494713,196.505719401,0.0,1194.13523666,0.0,3.56285939334,0.0,0.0,0.0,4417.57531139
1458086400,0.0,105.758887801,80.353242665,215.846660986,0.0,814.015277997,82.9262238593,4.26943407223,0.0,0.0,0.0,5767.42293187
1458259200,0.0,713.90875157,71.875,143.500366893,0.0,950.69280859,78.0529428073,5.85416666663,0.0,0.0,0.0,4519.97850053
1458432000,0.0,1.06366400935,81.25,41.3014978776,0.0,1517.81557595,46.2708333333,0.0,0.0,0.0,0.0,4469.47214621
1458604800,1864.63335816,7.27424715681,90.625,19.9321487794,0.0,1106.13371411,315.129304685,2474.6551998,0.0,0.0,0.0,7292.86845085
1458777600,834.663939094,39.834180803,60.4029674871,72.1926716902,0.0,836.948928468,638.468916793,1311.5000336,504.103610205,0.0,0.0,3542.71220521
1458950400,178.57264873,285.450589249,83.3898815009,62.4180598581,0.0,984.227149274,684.686708401,1185.98468599,125.531745498,0.0,0.0,4215.39731029
1459123200,40.0476061512,493.886668135,97.7102235535,48.8385544829,0.0,1454.52067037,498.454007322,147.642923955,11.5208333333,0.0,0.0,4187.17804382
1459296000,29.8760251192,284.841796878,72.4564431131,59.6459995467,0.0,1125.4729318,621.093892535,32.9677645635,3.5625,0.0,0.0,5497.34322073
1459468800,12.6683691555,340.167710835,117.331149921,107.062234954,0.0,865.569023936,784.54820774,23.3464245589,0.916666666667,0.0,0.0,3459.82690004
1459641600,16.3574315796,304.508601793,112.007067861,171.432289051,0.0,1367.72256754,1659.28861985,61.5065825044,0.0,0.0,0.0,4453.69916708
1459814400,52.3224268992,187.378041004,115.359806732,128.51997116,0.0,1237.01736635,2254.34357287,90.2151391683,0.0,0.0,0.0,5137.25331455
1459987200,105.575295747,21.3736142003,85.3747312625,331.14259076,0.0,1388.60509243,1228.23304426,1472.26785231,0.0,0.0,0.0,10309.7037695
1460160000,0.00992620051875,0.112177516083,184.595559673,296.429844519,0.0,1529.97372175,431.376281492,274.529346533,0.0,0.0,0.0,4614.91494275
1460332800,437.379686558,0.0,59.3089979241,181.502740185,0.0,1401.52105802,14.3960302443,2584.4898093,0.0,0.0,0.0,3853.77379858
1460505600,1980.42954662,240.261167426,171.49269525,180.44914402,0.0,1714.20414741,917.138451033,81.6191318181,1.14583333333,0.0,0.0,5690.85335118
1460678400,201.233979917,1235.38694974,210.896123617,124.408688228,0.0,1929.10703169,10513.6549958,0.0165993197292,0.0,0.0,0.0,3528.54805454
1460851200,3.41130310011,1617.52311906,93.9070760149,149.934472606,0.0,1171.54150467,17664.1892152,0.1875,0.0,0.0,0.0,1788.22745325
1461024000,0.0663171365542,1696.0520247,94.2356961023,87.8356233989,0.0,1143.762298,12678.5860524,7.05844372227,0.3125,0.0,0.0,6327.68431487
1461196800,0.0,2305.68537718,107.741021559,49.0485993457,0.0,1095.60367447,22762.3370726,0.0457229444646,0.0,0.0,0.0,7844.90435661
1461369600,0.125,1806.54029954,113.892176759,80.2201743124,0.0,1135.2658038,23360.1791975,0.0,0.0,0.0,0.0,5987.1687829
1461542400,44.938574058,465.196904991,58.4038619425,247.044935342,0.0,1051.60311506,5551.09381756,5.97916666667,0.0,0.0,0.0,4675.94474496
1461715200,7.66559260848,155.624596256,88.8736701199,223.116853886,0.0,679.494807433,8656.01488202,0.0,32.0465024868,0.0,0.0,5295.83897784
1461888000,0.0,470.783114677,54.9754178388,575.779876138,0.0,827.855248893,3271.79304228,0.0,67.947129079,0.0,0.0,4472.12020085
1462060800,0.0,673.504886568,31.1301570496,729.988522634,0.0,616.368336204,6646.32091698,0.0,5.56314020383,0.0,0.0,5363.96593972
1462233600,10.3541666667,1708.63313843,33.8430894317,607.844203806,0.0,728.438462739,10230.7051921,59.8727746627,0.443228230323,0.0,0.0,5906.83473333
1462406400,0.0,1376.01741761,50.7309397409,202.989822814,0.0,712.535212784,9862.57813873,1276.125213,0.0,0.0,0.0,6420.65693909
1462579200,0.0,1048.38604441,67.1634646488,177.726799223,0.0,990.682824446,13491.4624505,150.525818994,0.0,0.0,0.0,1950.31557828
1462752000,86.596734345,1490.09848866,78.6764453349,499.657510522,0.0,1510.88437717,5961.01869026,15.3862265851,0.0,0.0,0.0,4855.08871471
1462924800,25.3642532535,1445.09327586,91.2492584558,108.67064152,0.0,1469.2983601,17051.621251,7.83953324673,0.0,0.0,0.0,5635.10926512
1463097600,26.0337738671,181.504111473,75.6936837216,52.5811287135,0.0,944.850895078,13343.8289139,16.7538474753,0.0,0.0,0.0,2747.50748776
1463270400,48.8161750241,85.1908223722,88.3695578226,306.422650142,0.0,2047.15322545,1847.76655813,6.37158603798,0.0,0.0,0.0,4882.12451691
1463443200,18.0266404272,10.5511176125,62.4142130998,213.052432922,0.0,1173.14203909,1413.5741594,0.0,0.0,0.0,0.0,9427.3133743
1463616000,48.3051786888,0.00881012179792,63.4810523583,268.375338905,0.0,786.661392133,5635.64414514,65.2687331849,0.333333333333,0.0,0.0,7045.13612493
1463788800,46.5431324189,0.0,83.7893026042,455.159393634,0.0,673.074210285,33.8384357525,2.28970752333,0.0,0.0,0.0,2871.95682298
1463961600,5.66254222111,0.0,15.518530536,391.235688192,0.0,747.506952074,119.756509802,5.89079961164,0.0,0.0,0.0,9654.24729156
1464134400,12.558852264,0.0,51.8594014023,166.945916474,0.0,40.7538413424,0.852572438269,0.425759680225,0.0,0.0,0.0,11325.5321939
1464307200,0.0510508242854,0.0,34.9596727662,124.579548868,0.0,2303.98163615,0.0051579248625,0.0,0.0,0.0,0.0,7058.11344738
