epoch,DataReconstruction,DataStripping,DataSwimming,MCMerge,MCReconstruction,MCSimulation,MCStripping,Merge,Turbo,User,WGProduction
1469419200,311009.0,285340.0,36684.0,396.0,9447.5,569450.5,6981.5,100319.0,69462.0,75479.0,40608.0
1469420100,311009.5,285340.0,36684.0,396.0,9458.0,566025.5,6986.5,100319.0,69462.0,75448.5,40608.0
1469421000,311009.0,285340.0,36684.0,396.0,9457.5,567239.0,6986.5,100319.0,69462.0,75452.0,40608.0
1469421900,311011.5,285340.0,36684.0,396.0,9463.0,567266.0,6992.5,100319.0,69462.0,75438.0,40608.0
1469422800,311011.0,285340.0,36684.0,396.0,9464.0,567368.5,6998.5,100319.0,69462.0,75441.0,40608.0
1469423700,311011.0,285340.0,36684.0,396.0,9466.5,567454.5,7008.5,100319.0,69462.0,75418.0,40608.0
1469424600,311014.0,285340.0,36684.0,396.0,9471.33333333,568511.666667,7012.66666667,100319.0,69462.0,75440.6666667,40608.0
1469425500,311013.0,285340.0,36684.0,396.0,9473.5,568812.0,7018.0,100319.0,69462.0,75410.5,40608.0
1469426400,311013.0,285340.0,36684.0,396.0,9481.5,568861.0,7021.0,100319.0,69462.0,75403.5,40608.0
1469427300,311013.0,285340.0,36684.0,398.0,9484.0,568892.5,7026.5,100319.0,69462.0,75428.5,40608.0
1469428200,311013.666667,285340.0,36684.0,397.0,9487.66666667,570052.166667,7039.0,100319.0,69462.0,75403.3333333,40608.0
1469429100,311013.5,285340.0,36684.0,389.0,9488.5,570368.5,7037.0,100319.0,69462.0,75378.0,40608.0
1469430000,311014.5,285340.0,36684.0,389.0,9281.0,570363.0,7043.5,100319.0,69462.0,75368.5,40608.0
1469430900,311015.0,285340.0,36684.0,433.0,9305.5,570515.5,7048.0,100319.0,69462.0,75482.0,40608.0
1469431800,311015.5,285340.0,36684.0,435.0,9311.0,571404.5,7050.0,100319.0,69462.0,75780.5,40608.0
1469432700,311017.666667,285340.0,36684.0,434.666666667,9312.0,571961.666667,7059.66666667,100319.0,69462.0,76139.3333333,40608.0
1469433600,311017.0,285340.0,36684.0,433.0,9318.5,571887.0,7068.0,100319.0,69462.0,76292.0,40608.0
1469434500,311017.0,285340.0,36684.0,433.0,9322.5,572052.0,7069.5,100319.0,69462.0,76122.5,40608.0
1469435400,311017.0,285340.0,36684.0,436.5,9326.5,572997.5,7073.5,100319.0,69462.0,76045.0,40608.0
1469436300,311017.0,285340.0,36684.0,433.0,9333.0,573364.5,7080.0,100319.0,69462.0,75819.5,40608.0
1469437200,311017.0,285340.0,36684.0,433.0,9334.5,573418.5,7088.0,100319.0,69462.0,75624.0,40608.0
1469438100,311017.0,285340.0,36684.0,436.0,9339.5,573532.5,7095.5,100319.0,69462.0,75672.5,40608.0
1469439000,311017.0,285340.0,36684.0,437.0,9344.5,574479.5,7106.5,100319.0,69462.0,75675.5,40608.0
1469439900,311017.0,285340.0,36684.0,436.5,9344.5,574861.0,7107.5,100319.0,69462.0,75705.0,40608.0
1469440800,311017.0,285340.0,36684.0,435.0,9350.0,574957.0,7109.0,100319.0,69463.0,75692.0,40608.0
1469441700,311018.0,285340.0,36684.0,436.0,9354.5,575139.0,7121.5,100319.0,69463.5,75692.0,40608.0
1469442600,311018.0,285340.0,36684.0,435.0,9357.0,575257.0,7121.0,100319.0,69463.0,75656.0,40608.0
1469443500,311018.0,285340.0,36684.0,436.0,9365.5,576444.0,7132.5,100319.0,69463.0,75750.0,40608.0
1469444400,311018.0,285340.0,36684.0,437.0,9368.5,576512.5,7141.0,100319.0,69463.0,75633.0,40608.0
1469445300,311018.0,285340.0,36684.0,437.0,9370.75,576721.0,7140.0,100319.0,69463.0,75636.25,40608.0
1469446200,311018.0,285340.0,36684.0,437.0,9377.66666667,577470.833333,7145.16666667,100319.0,69463.0,75603.9,40608.0
1469447100,311018.833333,285340.0,36684.0,436.166666667,9378.33333333,578039.75,7146.5,100319.0,69463.0,75620.7333333,40608.0
1469448000,311019.0,285340.0,36684.0,444.142857143,9379.42857143,579258.478571,7197.85714286,100319.0,69463.0,75751.3238095,40608.0
1469448900,311019.0,285340.0,36684.0,430.0,9383.5,576967.833333,7119.66666667,100319.0,69463.0,75499.0,40608.0
1469449800,311019.0,285340.0,36684.0,428.0,9384.33333333,577318.366667,7121.0,100319.0,69463.0,75316.0,40608.0
1469450700,311019.0,285340.0,36684.0,429.857142857,9388.42857143,578142.72619,7134.28571429,100319.0,69463.0,75336.697619,40608.0
1469451600,311019.0,285340.0,36684.0,428.0,9390.0,578334.233333,7134.0,100319.0,69463.0,75430.3166667,40608.0
1469452500,311019.0,285340.0,36684.0,428.0,9393.33333333,578508.633333,7146.83333333,100319.0,69463.0,75231.5333333,40608.0
1469453400,311019.0,285340.0,36684.0,428.0,9400.33333333,578822.916667,7154.5,100319.0,69463.0,75183.05,40608.0
1469454300,311019.0,285340.0,36684.0,428.0,9405.0,579241.8,7165.75,100319.0,69463.0,75250.7333333,40608.0
1469455200,311019.0,285340.0,36684.0,428.0,9414.14285714,579597.42381,7167.57142857,100319.0,69463.0,75344.6261905,40608.0
1469456100,311020.166667,285340.0,36684.0,429.0,9416.0,579778.333333,7176.5,100319.0,69463.0,75478.4,40608.0
1469457000,311021.0,285340.0,36684.0,428.0,9419.0,580522.05,7182.0,100319.0,69463.0,75882.4333333,40608.0
1469457900,311020.666667,285340.0,36684.0,428.833333333,9421.66666667,580669.666667,7184.83333333,100319.0,69463.0,76119.15,40608.0
1469458800,311024.333333,285340.0,36684.0,428.0,9425.66666667,580657.266667,7189.5,100319.0,69463.0,76327.4166667,40608.0
1469459700,311025.0,285340.0,36684.0,431.0,9421.42857143,580652.0,7193.57142857,100319.0,69463.0,76584.1095238,40608.0
1469460600,311025.0,285340.0,36684.0,430.0,9423.8,581669.766667,7195.93333333,100319.0,69463.0,76840.4333333,40608.0
1469461500,311025.571429,285340.0,36684.0,430.0,9425.28571429,582190.366667,7198.42857143,100319.0,69463.0,76997.5452381,40608.0
1469462400,311026.5,285340.0,36684.0,431.0,9430.35,583991.2,7293.0,100319.0,69463.0,77058.0833333,40608.0
