Variable, CERN-CNAF-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-CNAF-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, CERN-CNAF-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, RRCKI, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, RRCKI, activeCore, 0.000000, 0.027320, 0.027320, 0.000000
Variable, RRCKI, activeCore, 0.027320, 32931.244579, 32931.217259, 1.000000
Variable, RRCKI, activeCore, 32931.244579, 33310.527712, 379.283133, 0.000000
Variable, RRCKI, corruptedCore, 0.000000, 0.027320, 0.027320, 0.000000
Variable, RRCKI, corruptedCore, 0.027320, 32931.244579, 32931.217259, 0.000000
Variable, RRCKI, corruptedCore, 32931.244579, 33310.527712, 379.283133, 0.000000
Variable, RRCKI, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, RRCKI, outputData, 0.000000, 32983.553143, 32983.553143, 0.000000
Variable, RRCKI, outputData, 32983.553143, 33263.666608, 280.113465, 473344480.000000
Variable, RRCKI, outputData, 33263.666608, 33310.527712, 46.861104, 3786755840.000000
Variable, RRCKI, outputData, 33310.527712, 33310.527712, 0.000000, 4260100320.000000
Variable, RRCKI, datasetOnDisk, 0.000000, 32931.717924, 32931.717924, 0.000000
Variable, RRCKI, datasetOnDisk, 32931.717924, 33310.527712, 378.809788, 1.000000
Variable, RRCKI, datasetOnTape, 0.000000, 32983.553143, 32983.553143, 0.000000
Variable, RRCKI, datasetOnTape, 32983.553143, 33310.527712, 326.974569, 1.000000
Variable, SARA, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, SARA, activeCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, SARA, corruptedCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, SARA, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, SARA, outputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, SARA, datasetOnDisk, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, SARA, datasetOnDisk, 33263.666608, 33310.527712, 46.861104, 1.000000
Variable, SARA, datasetOnTape, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, RAL, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, RAL, activeCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, RAL, corruptedCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, RAL, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, RAL, outputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, RAL, datasetOnDisk, 0.000000, 33263.666608, 33263.666608, 0.000000
