JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job71,1,525.551257,1000.014744,1000.015826,98193.024108,CNAF
Job0,1,7.281723,1000.012165,1000.013247,98254.884222,RRCKI
Job131,1,87297.869676,88000.072322,93039.659857,99142.990515,CNAF
Job29,1,250.287743,1000.013454,1000.013661,99309.824089,CERN
Job197,1,87772.604044,88000.120105,94474.055188,100363.294373,IN2P3
Job44,1,343.511439,1000.013454,1000.013661,100553.417677,CERN
Job16,1,173.340488,1000.013454,1000.013661,100742.265112,CERN
Job48,1,359.165981,1000.013454,1000.013661,101420.757011,CERN
Job85,1,615.945647,1000.014744,1000.015826,101655.883242,CNAF
Job154,1,87447.001356,88000.073612,98813.424206,103333.633284,CERN
Job113,1,87174.743290,88000.047887,96720.082753,103490.049763,RRCKI
Job93,1,653.368852,1000.014744,1000.015826,103966.551935,CNAF
Job57,1,420.667464,1000.013454,1000.013661,104752.209525,CERN
Job67,1,498.223798,1000.014744,1000.015826,105603.565700,CNAF
Job22,1,198.611833,1000.013454,1000.013661,108653.465294,CERN
Job136,1,87313.850963,88000.073612,90322.827440,109492.179343,CERN
Job15,1,169.634626,1000.012165,1000.013247,110944.133704,RRCKI
Job178,1,87627.056404,88000.116857,88033.954969,111819.347251,GRIDKA
Job100,1,705.882919,1000.016909,1000.017991,113022.879216,GRIDKA
Job78,1,595.143149,1000.014744,1000.015826,114679.918363,CNAF
Job20,1,187.742579,1000.013454,1000.013661,115377.328700,CERN
Job128,1,87278.581011,88000.072322,98354.104201,116026.527862,CNAF
Job142,1,87361.076970,88000.073612,94379.413826,118354.813187,CERN
Job122,1,87230.107957,88000.072322,93039.659857,118507.675063,CNAF
Job195,1,87765.449917,88000.120105,113437.910969,118956.939370,IN2P3
Job98,1,695.203864,1000.016909,1000.017991,119600.828889,GRIDKA
Job120,1,87224.113948,88000.072322,96721.366203,119881.900101,CNAF
Job132,1,87303.064706,88000.072322,93163.400796,121772.014929,CNAF
Job176,1,87621.663006,88000.116857,88092.127050,122387.377176,GRIDKA
Job162,1,87483.170434,88000.073612,99771.852099,122663.699549,CERN
Job166,1,87506.222330,88000.073612,118331.954220,124190.725147,CERN
Job77,1,583.384935,1000.014744,1000.015826,126939.274951,CNAF
Job149,1,87393.944087,88000.073612,88009.856838,128141.918573,CERN
Job110,1,87163.893742,88000.047887,95657.322722,128255.229648,RRCKI
Job186,1,87688.577928,88000.116857,89256.730296,129312.904632,GRIDKA
Job143,1,87368.201191,88000.073612,98813.424206,129509.634429,CERN
Job177,1,87625.278487,88000.116857,88033.954969,133310.025792,GRIDKA
Job139,1,87332.840938,88000.073612,102329.797625,133660.185659,CERN
Job148,1,87391.987960,88000.073612,94379.413826,134214.070673,CERN
Job141,1,87339.139043,88000.073612,98813.424206,134974.452032,CERN
Job152,1,87423.277642,88000.073612,94473.323975,137739.053063,CERN
Job114,1,87183.964937,88000.047887,90322.471477,138031.985588,RRCKI
Job119,1,87216.742383,88000.047887,92921.719474,140262.247971,RRCKI
Job188,1,87704.837124,88000.116857,104257.188481,140769.600320,GRIDKA
Job164,1,87496.835068,88000.073612,118331.954220,141667.795111,CERN
Job173,1,87578.168453,88000.116857,89845.362484,144377.008602,GRIDKA
Job194,1,87759.573733,88000.120105,123357.967114,145164.904258,IN2P3
Job156,1,87450.549839,88000.073612,143434.128092,148481.648791,CERN
Job153,1,87442.251288,88000.073612,93163.162625,150671.461690,CERN
Job109,1,87159.839857,88000.047887,130492.744676,152511.921902,RRCKI
Job108,1,87158.506656,88000.047887,130492.744676,153003.075901,RRCKI
Job138,1,87317.729675,88000.073612,88000.073819,153277.675301,CERN
Job121,1,87225.216407,88000.072322,129955.176607,153974.349786,CNAF
Job140,1,87333.314133,88000.073612,88000.073819,154066.164042,CERN
Job111,1,87167.838786,88000.047887,88000.048969,156352.165453,RRCKI
Job144,1,87372.142300,88000.073612,88000.073819,160027.421683,CERN
Job118,1,87214.378636,88000.047887,143819.490776,160578.001040,RRCKI
Job180,1,87640.527777,88000.116857,88000.117940,163811.281770,GRIDKA
Job125,1,87271.260990,88000.072322,88000.073405,164029.865641,CNAF
Job193,1,87755.486478,88000.116857,88000.117940,168392.430320,GRIDKA
Job169,1,87538.925215,88000.073612,88000.073819,168692.302069,CERN
Job158,1,87468.175277,88000.073612,144108.392673,168978.279402,CERN
Job151,1,87416.209771,88000.073612,166970.336632,169364.470621,CERN
Job116,1,87208.666069,88000.047887,143819.490776,171766.029951,RRCKI
Job185,1,87674.353553,88000.116857,88000.117940,173290.018884,GRIDKA
Job124,1,87269.779650,88000.072322,88000.073405,173827.364885,CNAF
Job160,1,87479.883406,88000.073612,88000.073819,174284.325489,CERN
Job179,1,87637.534980,88000.116857,88000.117940,175854.073812,GRIDKA
Job184,1,87661.142488,88000.116857,88000.117940,177354.698807,GRIDKA
Job150,1,87410.387209,88000.073612,88000.073819,177460.430017,CERN
Job246,1,174469.461882,175000.161833,175032.301337,178058.876949,CERN
Job175,1,87620.943629,88000.116857,88000.117940,178970.948703,GRIDKA
Job159,1,87471.548207,88000.073612,88000.073819,179531.955542,CERN
Job163,1,87494.397780,88000.073612,88000.073819,179705.316572,CERN
Job233,1,174379.980196,175000.161833,175046.888340,180205.909188,CERN
Job198,1,87776.250318,88000.120105,88000.121187,180283.147357,IN2P3
Job137,1,87316.442261,88000.073612,88000.073819,181832.635928,CERN
Job272,1,174641.011701,175000.166651,177412.576676,182703.359006,GRIDKA
Job181,1,87651.085527,88000.116857,88000.117940,182951.003003,GRIDKA
Job200,1,174177.447540,175000.150722,179388.879406,183226.659185,RRCKI
Job182,1,87654.255152,88000.116857,137777.860397,183325.632008,GRIDKA
Job189,1,87709.801894,88000.116857,88000.117940,183708.968446,GRIDKA
Job168,1,87530.795146,88000.073612,166970.336632,185003.862442,CERN
Job172,1,87562.335674,88000.116857,159735.626322,187556.717255,GRIDKA
Job135,1,87310.965673,88000.072322,88000.073405,187729.630169,CNAF
Job130,1,87292.408995,88000.072322,88000.073405,188466.887025,CNAF
Job235,1,174392.082629,175000.161833,177902.534906,188824.815675,CERN
Job147,1,87378.239398,88000.073612,88000.073819,189148.739875,CERN
Job170,1,87542.491493,88000.073612,88000.073819,189639.155074,CERN
Job161,1,87480.752540,88000.073612,166825.799442,190030.002142,CERN
Job376,1,175420.436842,181000.162040,183718.876794,190115.004848,CERN
Job123,1,87244.864621,88000.072322,88000.073405,190247.516357,CNAF
Job112,1,87174.177037,88000.047887,88000.048969,190883.503962,RRCKI
Job278,1,174684.634600,175000.166651,175164.503123,191338.183657,GRIDKA
Job268,1,174605.288880,175000.161833,179290.020199,191361.078018,CERN
Job240,1,174419.617621,175000.161833,183970.702667,191451.154662,CERN
Job126,1,87271.503193,88000.072322,88000.073405,192026.981572,CNAF
Job363,1,175337.791037,176000.332631,179344.357416,192768.521100,SARA
Job212,1,174253.127988,175000.150722,187413.195473,193150.470179,RRCKI
Job243,1,174453.658048,175000.161833,175045.848715,193279.919161,CERN
Job134,1,87306.241062,88000.072322,88000.073405,193642.880311,CNAF
Job129,1,87282.306236,88000.072322,88000.073405,194600.738348,CNAF
Job288,1,174735.212819,175000.294383,187578.505720,194602.425609,IN2P3
Job279,1,174686.197908,175000.166651,175683.248867,194950.452726,GRIDKA
Job196,1,87770.601835,88000.120105,88000.121187,195024.840231,IN2P3
Job157,1,87454.622402,88000.073612,88000.073819,195063.325741,CERN
Job292,1,174768.044685,175000.294383,179198.978507,195170.567109,IN2P3
Job190,1,87720.987816,88000.116857,88000.117940,195543.236387,GRIDKA
Job214,1,174274.542535,175000.160544,188261.274469,195557.136713,CNAF
Job155,1,87448.691812,88000.073612,166825.799442,195808.746675,CERN
Job174,1,87586.334788,88000.116857,88000.117940,196503.783215,GRIDKA
Job294,1,174786.351190,175000.294383,175059.242335,197081.641361,IN2P3
Job379,1,175430.629313,183000.167734,191469.749241,197137.543319,GRIDKA
Job286,1,174733.569078,175000.294383,175245.867609,197671.180353,IN2P3
Job372,1,175411.864400,176000.332631,176019.079420,198429.390763,SARA
Job310,1,174910.963516,175000.303043,175068.261830,199238.298592,PIC
Job241,1,174447.312117,175000.161833,175045.848715,199730.963010,CERN
Job192,1,87745.592861,88000.116857,88000.117940,200078.937604,GRIDKA
Job167,1,87526.795887,88000.073612,166825.799442,200207.035290,CERN
Job115,1,87205.696753,88000.047887,88000.048969,200255.206720,RRCKI
Job281,1,174694.578076,175000.294383,183872.135767,201124.953480,IN2P3
Job398,1,175623.213417,194000.162916,196940.310898,201463.192793,CERN
Job183,1,87659.378391,88000.116857,88000.117940,201526.097308,GRIDKA
Job299,1,174824.196897,175000.294383,175247.043678,202121.061511,IN2P3
Job271,1,174625.356573,175000.166651,175139.069914,202653.090192,GRIDKA
Job133,1,87304.845487,88000.072322,88000.073405,202973.289049,CNAF
Job287,1,174735.212170,175000.294383,175245.867609,203261.680901,IN2P3
Job165,1,87497.794964,88000.073612,166825.799442,204100.178065,CERN
Job319,1,175009.140145,176000.306290,178122.576727,204561.655465,RAL
Job301,1,174825.374002,175000.294383,176410.172853,204663.996106,IN2P3
Job258,1,174546.611440,175000.161833,175045.848715,206171.020456,CERN
Job145,1,87374.437656,88000.073612,88000.073819,206174.502388,CERN
Job329,1,175079.453161,176000.306290,185684.867893,206481.249763,RAL
Job205,1,174214.541058,175000.150722,187413.195473,206621.667518,RRCKI
Job367,1,175353.481249,176000.332631,176019.079420,207026.309380,SARA
Job171,1,87551.735003,88000.073612,88000.073819,207304.756752,CERN
Job282,1,174696.871567,175000.294383,187578.505720,208377.230101,IN2P3
Job285,1,174714.967032,175000.294383,177906.357473,208711.487558,IN2P3
Job359,1,175303.486448,176000.332631,187698.874704,209039.888803,SARA
Job209,1,174239.120126,175000.150722,188369.781252,209222.373887,RRCKI
Job187,1,87698.503207,88000.116857,88000.117940,210145.156477,GRIDKA
Job330,1,175084.782242,176000.306290,185684.867893,210902.747869,RAL
Job390,1,175552.619926,194000.161626,195710.715476,210949.894815,CNAF
Job191,1,87735.304557,88000.116857,159735.626322,211223.032228,GRIDKA
Job245,1,174463.525171,175000.161833,175032.301337,211375.902137,CERN
Job356,1,175268.565010,176000.306290,190951.538239,211782.165239,RAL
Job394,1,175580.936185,194000.162916,196783.649262,212008.579288,CERN
Job423,1,175749.494972,207000.151804,207060.034504,212131.235068,RRCKI
Job127,1,87271.782710,88000.072322,88000.073405,212982.512105,CNAF
