JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job26,1,113.734289,1000.016909,1231.603628,3395.408030,GRIDKA
Job101,1,394.450062,1000.014744,1187.194679,3633.878540,CNAF
Job18,1,74.916797,1000.019074,1145.546699,6765.338295,IN2P3
Job100,1,382.375787,1000.014744,1150.267464,6912.147805,CNAF
Job55,1,220.768052,1000.013454,2248.166346,6938.452583,CERN
Job65,1,254.591767,1000.019074,1157.640967,6943.733368,IN2P3
Job160,1,545.184149,1000.023404,1147.687067,6945.114194,RAL
Job15,1,53.649462,1000.014744,1187.194679,7868.558940,CNAF
Job134,1,496.552806,1000.019074,1145.546699,8135.345024,IN2P3
Job224,1,846.032917,1000.023404,1170.602407,8143.329834,RAL
Job64,1,253.764066,1000.016909,1193.965650,8514.896111,GRIDKA
Job28,1,120.881709,1000.014744,2485.766485,8868.552825,CNAF
Job40,1,175.822988,1000.016909,1275.079182,8960.059561,GRIDKA
Job163,1,556.778904,7000.013661,7012.076550,9074.016707,CERN
Job172,1,593.246173,1000.025569,2159.552434,9355.282795,SARA
Job189,1,651.812197,9000.022321,9240.489303,11768.519345,GRIDKA
Job148,1,518.299444,1000.019074,1176.195345,16847.041938,IN2P3
Job179,1,612.338082,1000.025569,2159.552434,16902.704659,SARA
Job21,1,85.665120,1000.013454,1292.217967,17880.579795,CERN
Job30,1,125.763412,1000.013454,1278.828187,18080.264063,CERN
Job6,1,25.548466,1000.013454,1127.036222,18708.460964,CERN
Job25,1,109.279207,1000.013454,1340.276440,18745.282343,CERN
Job36,1,158.320389,1000.013454,1115.502222,19055.236313,CERN
Job138,1,501.198791,1000.023404,1165.649541,19293.365612,RAL
Job208,1,761.836273,1000.023404,1469.738210,19496.465405,RAL
Job149,1,525.172539,1000.025569,2159.552434,19603.182177,SARA
Job83,1,340.666064,1000.013454,1127.036222,19667.287053,CERN
Job126,1,467.033476,1000.019074,1080.333192,20462.388363,IN2P3
Job37,1,168.504208,1000.016909,1275.079182,20752.527747,GRIDKA
Job145,1,510.895017,1000.021239,1410.860718,21088.069105,PIC
Job125,1,465.629350,1000.016909,1682.119177,21775.982595,GRIDKA
