Name, CPU, Storage
CPPM Marseille,4000,300TB
GRIF Paris,6838,300TB
LAPP Annecy,5100,2TB
LPC Clermont-Ferrand,2014,2TB
LHCb Federation DESY,4500,8TB
INFN T2 Federation,15800,1TB
Latin America Federation,5530,240TB
Polish Tier-2 Federation,3900,1TB
Romanian Tier-2 Federation,6300,360TB
Russian Data-Intensive GRID,899,65TB
LHCb Federation,5265,1TB
CHIPP,10000,540TB
London Tier 2,2273,300TB
NorthGrid,7577,300TB
ScotGrid,1903,1TB
SouthGrid,6727,300TB
