Task3, 0.1917039718472231, 8.340266270118374
Task1, 0.06390132394907437, 13.053497640009672
Task2, 0.12780264789814874, 17.83621219832176
Task5, 0.31950661974537187, 21.954998592858196
Task0, 0.0, 22.388513280445814
Task4, 0.2556052957962975, 25.638436113679948
Task6, 0.38340794369444625, 29.243684767888013
Task10, 22.644118576242114, 33.95714604957068
Task9, 22.58021725229304, 37.31666858809565
Task11, 22.70801990019119, 37.3753497350105
Task12, 25.766238761578098, 44.861253181970284
Task8, 22.516315928343964, 45.15196814394581
Task7, 0.44730926764352064, 49.78607547371111
Task19, 50.16948341740556, 51.73044537263163
Task13, 25.830140085527173, 54.59460003260305
Task17, 50.04168076950741, 58.974595034965986
Task15, 49.91387812160926, 62.062114522280986
Task16, 49.97777944555833, 65.67594519054875
Task20, 50.233384741354634, 66.40906118171634
Task14, 29.371487415786163, 69.99526478914906
Task18, 50.10558209345648, 78.40250569934965
Task21, 54.7224026805012, 78.70486902908007
Task23, 70.18696876099631, 80.42466168650677
Task22, 70.12306743704723, 81.08650049804704
Task30, 81.21430314594521, 84.06786488973559
Task29, 78.84981496699322, 85.87775714640549
Task27, 78.5942096711969, 85.95458844634267
Task24, 70.25087008494539, 89.8676158040242
Task26, 78.53030834724781, 91.06662806250459
Task28, 78.65811099514598, 95.567007093076
Task25, 70.31477140889447, 97.32397960157842
Task31, 81.27820446989429, 97.47244334272648
Task33, 97.45178224947658, 106.1456662668099
Task38, 97.77128886922199, 109.85905442215692
Task32, 89.99541845192236, 110.08045760796286
Task35, 97.57958489737474, 110.91006176037081
Task36, 97.64348622132383, 111.69421728232486
Task39, 97.83519019317107, 112.17748331536222
Task34, 97.51568357342566, 118.64057967070502
Task40, 110.20826025586102, 122.53507085168032
Task37, 97.70738754527291, 131.11248253166082
Task47, 131.3680878274571, 136.6499228010942
Task43, 118.83228364255227, 137.37792531540728
Task41, 110.2721615798101, 142.2872531242906
Task46, 131.30418650350802, 143.42722743323
Task44, 118.89618496650135, 148.38602178462432
Task45, 131.24028517955895, 153.8240066983425
Task48, 131.43198915140616, 158.81564822691823
Task42, 118.76838231860319, 165.49381599821135
Task52, 165.74942129400762, 167.87941122810014
Task51, 165.68551997005855, 170.9798997960197
Task54, 165.87722394190575, 174.56277721698794
Task49, 142.41505577218874, 178.00833909628938
Task53, 165.8133226179567, 179.20682195501206
Task50, 165.62161864610948, 182.42590687154535
Task59, 182.61761084339255, 188.40509143271925
Task55, 165.94112526585482, 190.3023371451037
Task58, 182.5537095194435, 191.43081503245335
Task61, 182.7454134912907, 194.52253141164746
Task62, 182.80931481523976, 195.4395734254045
Task56, 166.0050265898039, 199.2318144234873
Task63, 190.43013979300184, 204.80292664081313
Task57, 178.1361417441875, 205.6989878324906
Task60, 182.68151216734162, 205.72592685657972
Task66, 205.8906918043378, 210.25152291463397
Task69, 206.082395776185, 213.50516553199
Task64, 199.35961707138543, 217.0640735234927
Task67, 205.95459312828686, 223.29619985095587
Task65, 205.82679048038872, 230.35947769131454
Task72, 217.19187617139085, 235.1556336540239
Task68, 206.01849445223593, 235.39142752136905
Task70, 206.14629710013406, 235.95296601418255
Task77, 235.58313149321626, 240.698799329044
Task73, 230.48728033921267, 242.9290146577461
Task71, 206.21019842408313, 244.72558244134896
Task78, 236.0807686620807, 245.77857302953987
Task80, 244.91728641319617, 246.24798294868634
Task75, 230.6150829871108, 249.59569099529492
Task79, 244.8533850892471, 251.1424458102037
Task74, 230.55118166316174, 254.10821577842947
Task81, 244.98118773714523, 259.57485346583894
Task76, 235.5192301692672, 264.1094933586856
Task82, 254.2360184263276, 266.3028384579174
Task87, 264.4289999784311, 271.9000969127405
Task84, 264.2372960065838, 273.4046351538723
Task86, 264.365098654482, 275.5563927140362
Task83, 254.29991975027667, 276.8945317291181
Task89, 264.5568026263293, 283.61889637660744
Task88, 264.4929013023802, 285.58178736057033
Task85, 264.3011973305329, 286.18562276656746
Task90, 266.4306411058156, 287.08804648386626
Task97, 286.56903071026204, 287.8983321967535
Task94, 286.37732673841475, 289.30756798847597
Task91, 277.0223343770163, 293.9567907302129
Task93, 286.31342541446566, 296.6119627814265
Task92, 277.0862357009654, 301.3684218685886
Task95, 286.44122806236385, 306.6092621756972
Task102, 301.624027164385, 307.5260084729107
Task96, 286.50512938631294, 307.6459439315327
Task99, 294.0845933781111, 310.08706183895487
Task98, 287.21584913176446, 318.1986801100421
Task103, 306.7370648235954, 318.73711174267487
Task100, 301.4962245164868, 321.67936164603026
Task104, 307.7737465794309, 330.07194342330644
Task101, 301.5601258404359, 333.10402781071537
Task105, 307.83764790338, 335.24084810285694
Task106, 318.3264827579403, 343.55654238942003
Task110, 333.29573178256265, 343.8604087849493
Task107, 318.3903840818894, 344.30676141819254
Task114, 343.6843450373182, 352.21156734182836
Task108, 321.80716429392845, 353.53376470784536
Task113, 335.36865075075514, 354.5928156111992
Task115, 344.43456406609073, 356.22518031130613
Task109, 333.23183045861356, 360.8455456307353
Task112, 333.42353443046085, 362.3347027498633
Task116, 353.66156735574356, 364.38525476473467
Task117, 360.97334827863347, 366.8190613924431
Task111, 333.35963310651175, 372.668403606163
Task122, 372.9879102259085, 376.88246973616845
Task123, 373.0518115498576, 379.58703624255975
Task119, 372.7962062540612, 384.53453611460907
Task120, 372.8601075780103, 385.64096221614375
Task124, 373.1157128738067, 388.7770370455148
Task118, 361.03724960258256, 391.605543849508
Task126, 391.7333464974062, 396.89913011692244
Task121, 372.9240089019594, 397.19240310246767
Task127, 391.7972478213553, 401.42937459610386
