Country,Federation,Pledge Type,ALICE,% of Req.,ATLAS,% of Req.,CMS,% of Req.,LHCb,% of Req.,SUM,% of Req.
Latin America,Latin America Federation,CPU (HEP-SPEC06),27500,12%,5200,1%,7600,1%,5530,7%,45830,3%
Latin America,Latin America Federation,Disk (Tbytes),200,1%,220,0%,700,2%,240,9%,1360,1%
Malaysia,University of Malaya,CPU (HEP-SPEC06),,,,,45000,6%,,,45000,6%
Malaysia,University of Malaya,Disk (Tbytes),,,,,600,2%,,,600,2%
Mexico,UNAM,CPU (HEP-SPEC06),4900,2%,,,,,,,4900,2%
Mexico,UNAM,Disk (Tbytes),570,2%,,,,,,,570,2%
Pakistan,Pakistan ALICE Federation,CPU (HEP-SPEC06),2500,1%,,,,,,,2500,1%
Pakistan,Pakistan ALICE Federation,Disk (Tbytes),500,2%,,,,,,,500,2%
Pakistan,Pakistan Tier-2 Federation,CPU (HEP-SPEC06),,,,,6365,1%,,,6365,1%
Pakistan,Pakistan Tier-2 Federation,Disk (Tbytes),,,,,330,1%,,,330,1%
Poland,Polish Tier-2 Federation,CPU (HEP-SPEC06),5400,2%,7300,1%,6400,1%,3900,5%,23000,1%
Poland,Polish Tier-2 Federation,Disk (Tbytes),370,1%,500,1%,360,1%,,,1230,1%
Portugal,LIP Tier-2 Federation,CPU (HEP-SPEC06),0,0%,3000,1%,3000,0%,0,0%,6000,0%
Portugal,LIP Tier-2 Federation,Disk (Tbytes),0,0%,190,0%,170,0%,0,0%,360,0%
Republic of Korea,CHEP of KNU Daegu,CPU (HEP-SPEC06),,,,,9200,1%,,,9200,1%
Republic of Korea,CHEP of KNU Daegu,Disk (Tbytes),,,,,810,2%,,,810,2%
Romania,Romanian Tier-2 Federation,CPU (HEP-SPEC06),17800,8%,20350,4%,,,6300,8%,44450,5%
Romania,Romanian Tier-2 Federation,Disk (Tbytes),1280,5%,1420,2%,,,360,13%,3060,3%
Russian Federation,Russian Data-Intensive GRID,CPU (HEP-SPEC06),21679,9%,31662,6%,24362,3%,899,1%,78602,5%
Russian Federation,Russian Data-Intensive GRID,Disk (Tbytes),1568,6%,2290,3%,1762,5%,65,2%,5685,4%
